id,question,ex_or_im,story_section,reference_answer1,reference_answer2,generated_answer,rouge1_a1,rouge2_a1,rougeL_a1,rougeLsum_a1,rouge1_a2,rouge2_a2,rougeL_a2,rougeLsum_a2,bleu_a1,precisions_a1,brevity_penalty_a1,length_ratio_a1,translation_length_a1,reference_length_a1,bleu_a2,precisions_a2,brevity_penalty_a2,length_ratio_a2,translation_length_a2,reference_length_a2,bertscore_f1_a1,bertscore_f1_a2,bleurt_score_a1,bleurt_score_a2
575,what did the princess do in her little room ?,explicit,"it happened once when a great feast was being held in the palace , that she said to the cook , ' can i go upstairs for a little bit and look on ? i will stand outside the doors . ' the cook replied , ' yes , you can go up , but in half - an - hour you must be back here to sweep up the ashes . ' then she took her little oil - lamp , and went into her little room , drew off her fur cloak , and washed off the soot from her face and hands , so that her beauty shone forth , and it was as if one sunbe","drew off her fur cloak , and washed off the soot from her face and hands .",washed off the soot from her face and hands .,She washed off the soot,0.4,0.3333333333333333,0.4,0.4,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.0689307382385699,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",0.09071795328941251,0.29411764705882354,5,17,0.27952792741962756,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",0.36787944117144233,0.5,5,10,0.9025620222091675,0.910076379776001,-0.53260154,-0.14380097
576,what did the second sister give ian ?,explicit,"the fisher 's son did as the woman told him , and everything happened just as she had said . but at parting the second sister said to him , as she gave him another pair of shoes : ' go to my third sister , for she has a son who is keeper of the birds of the air , and sends them to sleep when night comes . he is very wise , and perhaps he can help you . ' then the young man thanked her , and went to the third sister .",another pair of shoes .,another pair of shoes .,shoes,0.4,0.0,0.4,0.4,0.4,0.0,0.4,0.4,0.01831563888873418,"[1.0, 1.0, 1.0, 1.0]",0.01831563888873418,0.2,1,5,0.01831563888873418,"[1.0, 1.0, 1.0, 1.0]",0.01831563888873418,0.2,1,5,0.8278771638870239,0.8278771638870239,-0.8553276,-0.8553276
577,how did the princess feel in her new home ?,explicit,"in a few days she heard that a great hunt was planned , and the prince would leave the palace very early in the morning , so that his wife would be alone all day . this was a chance not to be missed , and taking her daughter with her she went up to the palace , where she had never been before . the princess was too happy in her new home to remember all that she had suffered in the old one , and she welcomed them both gladly , and gave them quantities of beautiful things to take back with them . ",happy .,too happy .,The princess was too happy,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.5714285714285715,0.4,0.5714285714285715,0.5714285714285715,0.2730120862709067,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",1.0,2.5,5,2,0.35930411196308426,"[0.5, 0.4, 0.25, 0.3333333333333333]",1.0,1.6666666666666667,5,3,0.8243454694747925,0.8588625192642212,-0.86488867,-0.13234161
578,what happened because the man was so surprised at what he saw ?,explicit,"but on looking out from the tree , what was his amazement to see , not his friends , but hundreds of demons coming towards the spot . the more he looked , the greater was his astonishment . some of these demons were as large as giants , others had great big eyes out of all proportion to the rest of their bodies , others again had absurdly long noses , and some had such big mouths that they seemed to open from ear to ear . all had horns growing on their foreheads . the old man was so surprised at",he lost his balance and fell out of the hollow tree .,he lost his balance and fell out of the hollow tree .,He lost his balance and fell out of the tree,0.9523809523809523,0.8421052631578948,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8421052631578948,0.9523809523809523,0.9523809523809523,0.6607613435460772,"[0.9090909090909091, 0.8, 0.7777777777777778, 0.75]",0.8187307530779819,0.8333333333333334,10,12,0.6607613435460772,"[0.9090909090909091, 0.8, 0.7777777777777778, 0.75]",0.8187307530779819,0.8333333333333334,10,12,0.9728936553001404,0.9728936553001404,0.6911251,0.6911251
579,what did the king do when his wife fell ill ?,explicit,"now for a time the dragon king and his bride lived very happily . they loved each other dearly , and the bridegroom day after day took delight in showing his bride all the wonders and treasures of his coral palace , and she was never tired of wandering with him through its vast halls and gardens . life seemed to them both like a long summer 's day . two months passed in this happy way , and then the dragon queen fell ill and was obliged to stay in bed . the king was sorely troubled when he saw h",sent for the fish doctor to come and give her some medicine .,sent for the fish doctor to come and giver her some medicine .,None of the above choices,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.05512018958855254,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.20189651799465547,0.38461538461538464,5,13,0.05512018958855254,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.20189651799465547,0.38461538461538464,5,13,0.8329164385795593,0.8285244703292847,-1.5436742,-1.5452039
580,what will the gentleman do after he angers the old woman ?,explicit,"' sir , ' she said , ' i know all that has happened to you , and how you are seeking if in any wise you can save your life . but there is none that can answer that question save only i myself , if you will promise to do all i ask . ' at her words the prisoner felt as if a load had all at once been rolled off him . ' oh , save me , and i will do anything ! ' he cried . ' it is so hard to leave the world and go out into the darkness . ' ' you will not need to do that , ' answered the old woman , '",begin to run as fast as he can after the old crone .,began to run as fast as he could after the old crone .,fly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16664614247128e-06,"[0.5, 1.0, 1.0, 1.0]",6.14421235332821e-06,0.07692307692307693,1,13,5.16664614247128e-06,"[0.5, 1.0, 1.0, 1.0]",6.14421235332821e-06,0.07692307692307693,1,13,0.81172776222229,0.8083315491676331,-1.4424161,-1.4833816
581,who did the chief steward suggest shoud get the monkey ?,explicit,"the chief steward thought for some time , and then , as if struck by a sudden thought , said joyfully : "" i know what we must do ! there is the kurage ( jelly fish ) . he is certainly ugly to look at , but he is proud of being able to walk on land with his four legs like a tortoise . let us send him to the island of monkeys to catch one . "" the jelly fish was then summoned to the king 's presence , and was told by his majesty what was required of him . the jelly fish , on being told of the unexp",the kurage .,the kurage ( jelly fish ) .,the king,0.5,0.0,0.5,0.5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4608636396914616,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.06237111121110017,"[0.6666666666666666, 0.5, 1.0, 1.0]",0.0820849986238988,0.2857142857142857,2,7,0.8526571989059448,0.830141544342041,-1.4547528,-1.7224566
582,how did the farmer feel when the bonze did not go ?,explicit,"once upon a time there was a farmer who had carted pears to market . since they were very sweet and fragrant , he hoped to get a good price for them . a bonze with a torn cap and tattered robe stepped up to his cart and asked for one . the farmer repulsed him , but the bonze did not go . then the farmer grew angry and began to call him names . the bonze said : "" you have pears by the hundred in your cart . i only ask for one . surely that does you no great injury . why suddenly grow so angry abo",angry .,angry .,angry,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.36787944117144233,"[1.0, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.9116600751876831,0.9116600751876831,0.90101075,0.90101075
583,what did the man do when he realized how late it was ?,explicit,"the sun had long set , and the young moon had risen like a silver crescent in the sky . the old man suddenly realized how late it was and began to hurry home . he patted his right cheek all the time , as if to make sure of his good fortune in having lost the wen . he was so happy that he found it impossible to walk quietly -- he ran and danced the whole way home .",hurry home .,began to hurry home .,He ran and danced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3021375397356768,"[0.2, 0.25, 0.3333333333333333, 0.5]",1.0,1.3333333333333333,4,3,0.23530495254141282,"[0.2, 0.25, 0.3333333333333333, 0.5]",0.7788007830714049,0.8,4,5,0.8433694243431091,0.8576660752296448,-0.9673775,-0.86711454
584,why did tsui tell the prince the whole story exactly as it had happened ?,explicit,"two years passed , and the youth no longer thought of any danger . hence , when the flowers began to bloom in the spring , rose - red went driving in a small wagon outside the city , near the river . and there one of the prince 's servants saw her , and informed his master . the latter sent for the youth , who , since he could not conceal the matter , told him the whole story exactly as it had happened . said the prince : "" the whole blame rests on rose - red . i do not reproach you . yet since ",he could not conceal the matter .,he could not conceal the matter .,None of the above choices,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,0.1830054742374001,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.6703200460356393,0.7142857142857143,5,7,0.1830054742374001,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.6703200460356393,0.7142857142857143,5,7,0.8502927422523499,0.8502927422523499,-0.66849035,-0.66849035
585,why were the robbers very tired and crosser than they had been yesterday ?,explicit,"' trust me and eat as you did before , and no harm shall happen to you , ' said she . so ian ate and drank , and fell sound asleep under the cask . in the evening the robbers arrived very tired , and crosser than they had been yesterday , for their luck had turned and they had brought back scarcely anything . ' someone has eaten our dinner again , ' cried they . ' it is the man under the barrel , ' answered the captain . ' let four of you go and kill him , but first slay the other four who prete",their luck had turned and they had brought back scarcely anything .,their luck had turned and they had brought back scarcely anything .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566124695559154,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.2465969639416065,0.4166666666666667,5,12,0.0566124695559154,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.2465969639416065,0.4166666666666667,5,12,0.8313816785812378,0.8313816785812378,-1.2697092,-1.2697092
586,what were the women about to do at the well ?,explicit,"he said not a word , however , but silently gazed at them through the foliage of the trees , waiting to see what they would do . he saw that in their hands they carried golden buckets . slowly and gracefully in their trailing garments they approached the well , standing in the shade of the katsura trees , and were about to draw water , all unknowing of the stranger who was watching them , for the happy hunter was quite hidden among the branches of the tree where he had posted himself .",draw water .,about to draw water .,draw water,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6065306597126334,"[1.0, 1.0, 1.0, 1.0]",0.6065306597126334,0.6666666666666666,2,3,0.22313016014842982,"[1.0, 1.0, 1.0, 1.0]",0.22313016014842982,0.4,2,5,0.9451187252998352,0.8934391140937805,0.9181019,-0.28439015
587,who was a charming young irish lady ?,explicit,"and while he was at court he met a charming young irish lady , the lady morna , who had come from ireland to scotland to attend upon the scottish queen . she was so sweet , and good , and gentle that earl harold 's heart was won , and he made up his mind that she , and only she , should be his bride . but although he had paid her much attention , lady morna had sometimes caught glimpses of his jealous temper ; she had seen an evil expression in his eyes , and had heard him speak sharply to his s",the lady morna .,the lady morna .,morna,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.049787068367863944,"[1.0, 1.0, 1.0, 1.0]",0.049787068367863944,0.25,1,4,0.049787068367863944,"[1.0, 1.0, 1.0, 1.0]",0.049787068367863944,0.25,1,4,0.8559327721595764,0.8559327721595764,-0.43553466,-0.43553466
588,why did the widowed mistress want to sell her pig ?,explicit,"at any rate , his poor young wife was sorely to be pitied , for she was left with a little baby - boy to bring up , and , as times were bad , she had not much to live on . but she loved her baby dearly , and worked all day amongst her cows , and pigs , and hens , in order to earn enough money to buy food and clothes for both herself and him . now , on the morning of which i am speaking , she rose very early and went out to feed her pigs , for rent - day was coming on , and she intended to take o",she thought that the price that it would fetch would go a long way towards paying her rent .,the price it would fetch would go a long way towards paying her rent .,None of the above choices,0.08695652173913045,0.0,0.08695652173913045,0.08695652173913045,0.10526315789473682,0.0,0.10526315789473682,0.10526315789473682,0.01660188206357524,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.06081006262521795,0.2631578947368421,5,19,0.0369481680224917,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,0.8362948894500732,0.8310936689376831,-1.2318509,-1.1956635
589,what did the gentleman do for fourteen days ?,explicit,"the young man raised his head as if to reply , but the king would not listen , and commanded his guards to put him under arrest , adding , however , that if the prisoner wished to visit any part of the city , he was at liberty to do so properly guarded , and in fifteen days he would be brought to trial before the highest judges in the land . the young man left the king 's presence , surrounded by soldiers , and accompanied by many of his friends , for he was a great favourite . by their advice h",seek counsel from wise men of all sorts .,seek counsel from wise men .,He was a prisoner .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12267223791558805,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.4493289641172217,0.5555555555555556,5,9,0.22352339099197038,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,0.8538942337036133,0.8695986270904541,-1.0996927,-1.1239475
590,why did the king make fresh conditions ?,explicit,"then dullhead asked once more for his bride , but the king felt vexed at the idea of a stupid fellow whom people called ' dullhead ' carrying off his daughter , and he began to make fresh conditions . he required dullhead to find a man who could eat a mountain of bread . dullhead did not wait to consider long but went straight off to the forest , and there on the same spot sat a man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while . said he",he felt vexed at the idea of a stupid fellow whom people called ' dullhead ' carrying off his daughter .,he felt vexed at the idea of a stupid fellow carrying off his daughter .,None of the above choices,0.1739130434782609,0.0,0.08695652173913045,0.08695652173913045,0.21052631578947364,0.0,0.10526315789473682,0.10526315789473682,0.012315792024227385,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.04076220397836621,0.23809523809523808,5,21,0.040889869516541145,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,0.8307188153266907,0.8399034738540649,-1.7050996,-1.5444114
591,what happened to the fiddler because he knew neither rest not response ?,explicit,"the fiddler knew neither rest nor repose , and did not pass his cap , but played merrily on with his left hand , and beat time with his foot , until he was dripping with sweat , and the fiddle was hidden by the dust and smoke . when andrew noticed that his own feet began to twitch where he was standing , he thought to himself : "" now i had better shoot away , or else he will play me right off the ground ! "" so he turned his gun , thrust it through the window , and shot it off over the bride 's h",he was dripping with sweat and the fiddle was hidden by the dust and smoke .,he was dripping with sweat .,None of the above choices,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03025060142990643,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.11080315836233387,0.3125,5,16,0.18796001821050234,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,0.8329554796218872,0.821147620677948,-1.6157614,-1.329367
592,why did the man forget himself and step out of the tree ?,explicit,"it made the old man laugh to see their strange antics . "" how amusing this is ! "" laughed the old man to himself "" i am now quite old , but i have never seen anything so strange in all my life . "" he was so interested and excited in watching all that the demons were doing , that he forgot himself and stepped out of the tree and stood looking on .",he was so interested and excited in watching all that the demons were doing .,he was so interested and excited in watching all that the demons were doing .,He was a demon .,0.22222222222222224,0.125,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.125,0.22222222222222224,0.22222222222222224,0.040889869516541145,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,0.040889869516541145,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,0.8964534401893616,0.8964534401893616,-1.3056922,-1.3056922
593,why did the man spend all his time and money trying to get rid of his wen ?,explicit,"many , many years ago there lived a good old man who had a wen like a tennis - ball growing out of his right cheek . this lump was a great disfigurement to the old man , and so annoyed him that for many years he spent all his time and money in trying to get rid of it . he tried everything he could think of . he consulted many doctors far and near , and took all kinds of medicines both internally and externally . but it was all of no use . the lump only grew bigger and bigger till it was nearly a",it so annoyed him .,"this lump was a great disfigurement to the old man , and so annoyed him that for many years .",He had a lump .,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.0909090909090909,0.0909090909090909,0.2730120862709067,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",1.0,1.0,5,5,0.01616426370461062,"[0.6666666666666666, 0.2, 0.25, 0.3333333333333333]",0.049787068367863944,0.25,5,20,0.9002871513366699,0.8802205324172974,-0.7687453,-1.078168
594,why did the queen not recognize the king at first ?,explicit,"the king did as the north wind told him . he stationed himself on the steps ; and when the north wind came roaring and rushing up , and laid hold of the castle walls till they fairly shook , the prince came out to see what it was all about . but that very moment the king seized him by the collar , and threw him out , and the north wind took him and carried him off . when he had borne him away , the king went into the castle . at first the queen did not recognize him , for he had grown thin and p",he had grown thin and pale .,he had grown thin and pale .,He had grown thin and pale because he had wandered so long in his great distress,0.5454545454545454,0.5,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,0.5454545454545454,0.5454545454545454,0.3064859599765908,"[0.4117647058823529, 0.375, 0.26666666666666666, 0.21428571428571427]",1.0,2.2857142857142856,16,7,0.3064859599765908,"[0.4117647058823529, 0.375, 0.26666666666666666, 0.21428571428571427]",1.0,2.2857142857142856,16,7,0.9104185104370117,0.9104185104370117,0.09381026,0.09381026
595,what happened because all the fishes-in-waiting were chosen from amongst the finest fish ?,explicit,"there was much gladness between the sea king and the happy hunter , and they sat and talked for a long time . at last the sea king clapped his hands , and then a huge retinue of fishes appeared , all robed in ceremonial garments , and bearing in their fins various trays on which all kinds of sea delicacies were served . a great feast was now spread before the king and his royal guest . all the fishes - in - waiting were chosen from amongst the finest fish in the sea , so you can imagine what a w",wonderful array of sea creatures waited upon the happy hunter .,a wonderful array of sea creatures it was that waited upon the happy hunter .,None of the above choices,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.21052631578947364,0.0,0.21052631578947364,0.21052631578947364,0.0910020781697788,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.301194211912202,0.45454545454545453,5,11,0.040889869516541145,"[0.5, 0.2, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,0.8351343274116516,0.8258323073387146,-1.5446416,-1.5377942
596,why did the king ask the girl to marry him ?,explicit,"' one day , shortly after the death of the queen , ' continued the young man , ' your highness was hunting , and outstripped all your attendants while chasing the deer . you were in a part of the country which you did not know , so seeing an orchard all pink and white with apple - blossoms , and a girl tossing a ball in one corner , you went up to her to ask your way . but when she turned to answer you , you were so struck with her beauty that all else fled from your mind . again and again you r",he was so struck with her beauty .,he was so struck with her beauty .,she was a poor knight,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.14983220973977976,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.5488116360940264,0.625,5,8,0.14983220973977976,"[0.3333333333333333, 0.2, 0.25, 0.3333333333333333]",0.5488116360940264,0.625,5,8,0.8655412197113037,0.8655412197113037,-1.1900797,-1.1900797
597,how did ian know where to find the princess ?,explicit,"then , without waiting for a reply , she conducted him into the palace , and he bathed in a marble bath , and all the dirt that the fairies had put upon him disappeared like magic , and when he had dressed himself in the fine garments the princess had sent to him , he looked a match for any king 's daughter in erin . he went down into the great hall where she was awaiting him , and they had much to tell each other but little time to tell it in , for the king her father , and the princes who were",the birds in the box told him .,the birds in the box .,He was in the palace,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.4000000000000001,0.25,0.4000000000000001,0.4000000000000001,0.1971902775417715,"[0.5, 0.4, 0.25, 0.3333333333333333]",0.5488116360940264,0.625,5,8,0.2941733261715515,"[0.5, 0.4, 0.25, 0.3333333333333333]",0.8187307530779819,0.8333333333333334,5,6,0.8804752826690674,0.8746098279953003,-1.3927311,-1.4803301
598,why was rin jin not happy ?,explicit,"the palace of rin jin was at the bottom of the sea , and was so beautiful that no one has ever seen anything like it even in dreams . the walls were of coral , the roof of jadestone and chrysoprase , and the floors were of the finest mother - of - pearl . but the dragon king , in spite of his wide - spreading kingdom , his beautiful palace and all its wonders , and his power which none disputed throughout the whole sea , was not at all happy , for he reigned alone . at last he thought that if he",he reigned alone .,he reigned alone .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.25,5,4,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.25,5,4,0.8384435176849365,0.8384435176849365,-1.1309536,-1.1309536
599,how did the man's daughter look ?,explicit,"once upon a time there lived near a forest a man and his wife and two girls ; one girl was the daughter of the man , and the other the daughter of his wife ; and the man 's daughter was good and beautiful , but the woman 's daughter was cross and ugly . however , her mother did not know that , but thought her the most bewitching maiden that ever was seen .",beautiful .,beautiful .,cross and ugly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4518010018049224,"[0.25, 0.3333333333333333, 0.5, 1.0]",1.0,1.5,3,2,0.4518010018049224,"[0.25, 0.3333333333333333, 0.5, 1.0]",1.0,1.5,3,2,0.8397003412246704,0.8397003412246704,-0.8832892,-0.8832892
600,where was the wonderful carbuncle hidden ?,explicit,"but all the time they never guessed the real reason why snorro chose to live in the dwarfie stone . i will tell you why he did so . not very far from the stone there was a curious hill , shaped exactly like a wart . it was known as the wart hill of hoy , and men said that somewhere in the side of it was hidden a wonderful carbuncle , which , when it was found , would bestow on its finder marvellous magic gifts -- health , wealth , and happiness . everything , in fact , that a human being could d",the wart hill of hoy .,wart hill .,There was a hill in the side of the hill,0.4,0.0,0.26666666666666666,0.26666666666666666,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.14991106946711685,"[0.36363636363636365, 0.1, 0.1111111111111111, 0.125]",1.0,1.6666666666666667,10,6,0.12605968092174913,"[0.18181818181818182, 0.1, 0.1111111111111111, 0.125]",1.0,3.3333333333333335,10,3,0.8524678945541382,0.8649681210517883,-1.3379587,-1.277589
601,how many fairies did the king and queen find ?,explicit,"there were formerly a king and a queen , who were so sorry that they had no children ; so sorry that it can not be expressed . they went to all the waters in the world ; vows , pilgrimages , all ways were tried , and all to no purpose . at last , however , the queen had a daughter . there was a very fine christening ; and the princess had for her god - mothers all the fairies they could find in the whole kingdom ( they found seven ) , that every one of them might give her a gift , as was the cus",seven .,seven .,Seven,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.30934850332660563,"[0.5, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.30934850332660563,"[0.5, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.9146010279655457,0.9146010279655457,0.6863221,0.6863221
602,what would occasionally happen to andrew ?,explicit,"there was once a rich peasant who had two sons , named john nicholas and lucky andrew . the oldest was one of those fellows of whom one never can quite make head or tail . he was a most unpleasant customer to deal with , and he was more grasping and greedy than the folk of the northland are , as a rule , though it is only too rare to find them unblessed with these attractive qualities . the other , lucky andrew , was wild and high spirited , but always good natured , and no matter how badly off ",his boat would capsize .,his boat capsize .,None of the above choices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.0,5,5,0.2295748846661433,"[0.16666666666666666, 0.2, 0.25, 0.3333333333333333]",1.0,1.25,5,4,0.839263379573822,0.8373022675514221,-1.2120051,-1.2629067
603,what did the widowed mistress offer after the old woman declined the pig ?,explicit,""" oh , sweet madam mistress , "" she cried , "" spare me my bairn , and take , and thou wilt , the pig instead . "" "" we have no need of bacon where i come from , "" answered the fairy coldly ; "" so give me the laddie and let me begone -- i have no time to waste in this wise . "" "" oh , dear lady mine , "" pleaded the goodwife , "" if thou wilt not have the pig , wilt thou not spare my poor bairn and take me myself ? "" the fairy stepped back a little , as if in astonishment . "" art thou mad , woman , """,herself .,take herself .,bacon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30934850332660563,"[0.5, 1.0, 1.0, 1.0]",0.36787944117144233,0.5,1,2,0.11380295453101374,"[0.5, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.9061514735221863,0.8444835543632507,-1.263118,-1.2689226
604,what did the prince carry in his belt ?,explicit,"the king had listened attentively to the story , and when it was ended he said : ' i suppose the prince had no arms with him , or else he would have used them ? ' ' yes , sire , he had arms ; he always carries a dagger in his belt . but when he saw the blood pouring from his face , he went to a corner of the court and began to cry , which was the strangest thing of all . ' on hearing this the king walked to the window and stood for a few minutes with his back to the room , where the company of y",a dagger .,a dagger .,dagger,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.8380612134933472,0.8380612134933472,0.030479271,0.030479271
605,what did the janet throw at the bannock after it dodged behind a chair ?,explicit,""" oh , janet , "" cried the goodman in surprise , "" here comes in a little bannock . it looks rare and good to eat . i 'll have one half of it . "" "" and i 'll have the other half , "" cried the goodwife . "" hit it over the back with your cloving - stick , sandy , and knock it down . quick , or it will be out at the door again . "" but the bannock played "" jook - about , "" and dodged behind a chair . "" hoot ! "" cried janet contemptuously , for she thought that her husband might easily have hit it , ",her heckle .,her heckle .,heckle,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.1353352832366127,"[1.0, 1.0, 1.0, 1.0]",0.1353352832366127,0.3333333333333333,1,3,0.853981614112854,0.853981614112854,-0.7097922,-0.7097922
606,how was the monkey able to trick the jelly fish ?,explicit,"thus they went along , the jelly fish skimming through the waves with the monkey sitting on his back . when they were about half - way , the jelly fish , who knew very little of anatomy , began to wonder if the monkey had his liver with him or not ! "" mr . monkey , tell me , have you such a thing as a liver with you ? "" the monkey was very much surprised at this queer question , and asked what the jelly fish wanted with a liver . "" that is the most important thing of all , "" said the stupid jell",the jelly fish knew very little of anatomy .,the monkey told the jelly fish he left his livers hanging on the pine tree .,tree,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0002820893212548129,"[0.5, 1.0, 1.0, 1.0]",0.00033546262790251185,0.1111111111111111,1,9,3.059023205018258e-07,"[1.0, 1.0, 1.0, 1.0]",3.059023205018258e-07,0.0625,1,16,0.823777973651886,0.8042845726013184,-1.7645875,-1.8870394
607,what could the person who possessed the nanjiu do ?,explicit,"the happy hunter bowed low to the ground and said : "" i can never thank you enough for all your kindness to me . and now will you add one more favor to the rest and tell me what these jewels are and what i am to do with them ? "" "" the nanjiu , "" answered the sea king , "" is also called the jewel of the flood tide , and whoever holds it in his possession can command the sea to roll in and to flood the land at any time that he wills . the kanjiu is also called the jewel of the ebbing tide , and th",command the sea to roll in and to flood the land at any time that he wills .,command the sea to roll in and to flood the land at anytime .,command the sea to roll in and to flood the land at any time that he wills,1.0,1.0,1.0,1.0,0.8000000000000002,0.7857142857142857,0.8000000000000002,0.8000000000000002,0.9428731438548749,"[1.0, 1.0, 1.0, 1.0]",0.9428731438548749,0.9444444444444444,17,18,0.6952582546166497,"[0.7222222222222222, 0.7058823529411765, 0.6875, 0.6666666666666666]",1.0,1.2142857142857142,17,14,0.9919484853744507,0.9543114900588989,0.97789884,0.42922744
608,what did paul do after he saw lady morna crying ?,explicit,"at these words harold 's vanity was flattered , and he thought that , after all , his step - brother was right , and that he had a very small chance , with his meagre gift of speech , of being successful in his suit . so he threw down his dagger , and , shaking hands with him , begged him to pardon his unkind thoughts , and went down the winding stair again in high good - humour with himself and all the world . by this time it was coming near to the feast of yule , and at that festival it was th","folded her in his arms , he whispered to her how much he loved her , and begged her to promise to be his wife .","hugged her , told her he loved her and begged her to marry him .",paul took her to kirkwall,0.14285714285714285,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.2222222222222222,0.125,0.2222222222222222,0.2222222222222222,0.0053879724128559564,"[0.5, 0.4, 0.25, 0.3333333333333333]",0.014995576820477717,0.19230769230769232,5,26,0.04862652376060361,"[0.5, 0.4, 0.25, 0.3333333333333333]",0.1353352832366127,0.3333333333333333,5,15,0.833770215511322,0.8461436033248901,-1.2591832,-1.2044319
